position,surname,constructorposition,driverstandingposition,qualfyingposition,raceid
3,Leclerc,4,6,1,1083
2,Verstappen,1,1,2,1083
1,Pérez,1,2,3,1083
5,Sainz,4,5,4,1083
6,Hamilton,3,4,5,1083
4,Alonso,2,3,6,1083
9,Norris,5,9,7,1083
10,Tsunoda,9,16,8,1083
7,Stroll,2,8,9,1083
11,Piastri,5,11,10,1083
8,Russell,3,7,11,1083
15,Ocon,6,13,12,1083
12,Albon,10,17,13,1083
18,Bottas,8,12,14,1083
16,Sargeant,10,19,15,1083
19,Zhou,8,15,16,1083
17,Hülkenberg,7,10,17,1083
13,Magnussen,7,18,18,1083
14,Gasly,6,14,19,1083
20,de Vries,9,20,20,1083
2,Pérez,1,2,1,1084
3,Alonso,2,3,2,1084
5,Sainz,4,5,3,1084
10,Magnussen,7,17,4,1084
8,Gasly,6,10,5,1084
4,Russell,3,6,6,1084
7,Leclerc,4,7,7,1084
9,Ocon,6,12,8,1084
1,Verstappen,1,1,9,1084
13,Bottas,8,13,10,1084
14,Albon,10,18,11,1084
15,Hülkenberg,7,11,12,1084
6,Hamilton,3,4,13,1084
16,Zhou,8,15,14,1084
18,de Vries,9,20,15,1084
17,Norris,5,9,16,1084
11,Tsunoda,9,16,17,1084
12,Stroll,2,8,18,1084
19,Piastri,5,14,19,1084
20,Sargeant,10,19,20,1084
1,Verstappen,1,1,1,1085
2,Alonso,2,3,2,1085
6,Leclerc,4,7,3,1085
3,Ocon,5,9,4,1085
8,Sainz,4,6,5,1085
4,Hamilton,3,4,6,1085
7,Gasly,5,10,7,1085
5,Russell,3,5,8,1085
15,Tsunoda,9,16,9,1085
9,Norris,6,11,10,1085
10,Piastri,6,13,11,1085
12,de Vries,9,19,12,1085
14,Albon,10,18,13,1085
20,Stroll,2,8,14,1085
11,Bottas,8,14,15,1085
18,Sargeant,10,20,16,1085
19,Magnussen,7,17,17,1085
17,Hülkenberg,7,12,18,1085
13,Zhou,8,15,19,1085
16,Pérez,1,2,20,1085
1,Verstappen,1,1,1,1086
5,Sainz,4,6,2,1086
17,Norris,6,11,3,1086
10,Gasly,5,10,4,1086
2,Hamilton,2,4,5,1086
6,Stroll,3,8,6,1086
8,Ocon,5,9,7,1086
15,Hülkenberg,7,12,8,1086
7,Alonso,3,3,9,1086
13,Piastri,6,13,10,1086
4,Pérez,1,2,11,1086
3,Russell,2,5,12,1086
9,Zhou,8,15,13,1086
14,de Vries,9,19,14,1086
12,Tsunoda,9,16,15,1086
19,Bottas,8,14,16,1086
18,Magnussen,7,17,17,1086
16,Albon,10,18,18,1086
11,Leclerc,4,7,19,1086
20,Sargeant,10,20,20,1086
1,Verstappen,1,1,1,1087
15,Hülkenberg,8,13,2,1087
2,Alonso,3,3,3,1087
3,Hamilton,2,4,4,1087
19,Russell,2,6,5,1087
8,Ocon,5,9,6,1087
13,Norris,6,11,7,1087
5,Sainz,4,5,8,1087
11,Piastri,6,14,9,1087
7,Albon,9,12,10,1087
4,Leclerc,4,7,11,1087
6,Pérez,1,2,12,1087
9,Stroll,3,8,13,1087
17,Magnussen,8,18,14,1087
10,Bottas,7,15,15,1087
14,Tsunoda,10,17,16,1087
12,Gasly,5,10,17,1087
18,de Vries,10,19,18,1087
20,Sargeant,9,20,19,1087
16,Zhou,7,16,20,1087
1,Verstappen,1,1,1,1088
2,Leclerc,4,6,2,1088
6,Sainz,4,5,3,1088
4,Norris,6,10,4,1088
8,Hamilton,2,4,5,1088
9,Stroll,3,8,6,1088
5,Alonso,3,3,7,1088
20,Hülkenberg,7,12,8,1088
10,Gasly,5,11,9,1088
11,Albon,9,13,10,1088
7,Russell,2,7,11,1088
14,Ocon,5,9,12,1088
16,Piastri,6,14,13,1088
15,Bottas,8,15,14,1088
3,Pérez,1,2,15,1088
19,Tsunoda,10,17,16,1088
12,Zhou,8,16,17,1088
13,Sargeant,9,19,18,1088
18,Magnussen,7,18,19,1088
17,de Vries,10,20,20,1088
1,Verstappen,1,1,1,1089
2,Norris,5,9,2,1089
4,Piastri,5,11,3,1089
9,Leclerc,4,7,4,1089
10,Sainz,4,5,5,1089
5,Russell,2,6,6,1089
3,Hamilton,2,4,7,1089
8,Albon,7,13,8,1089
7,Alonso,3,3,9,1089
18,Gasly,6,12,10,1089
13,Hülkenberg,8,14,11,1089
14,Stroll,3,8,12,1089
20,Ocon,6,10,13,1089
11,Sargeant,7,19,14,1089
12,Bottas,9,15,15,1089
6,Pérez,1,2,16,1089
16,Tsunoda,10,17,17,1089
15,Zhou,9,16,18,1089
17,de Vries,10,20,19,1089
19,Magnussen,8,18,20,1089
4,Hamilton,2,4,1,1090
1,Verstappen,1,1,2,1090
2,Norris,5,8,3,1090
5,Piastri,5,11,4,1090
16,Zhou,9,16,5,1090
7,Leclerc,4,7,6,1090
12,Bottas,9,15,7,1090
9,Alonso,3,3,8,1090
3,Pérez,1,2,9,1090
14,Hülkenberg,8,14,10,1090
8,Sainz,4,6,11,1090
19,Ocon,6,10,12,1090
13,Ricciardo,10,21,13,1090
10,Stroll,3,9,14,1090
20,Gasly,6,12,15,1090
11,Albon,7,13,16,1090
15,Tsunoda,10,17,17,1090
6,Russell,2,5,18,1090
17,Magnussen,8,18,19,1090
18,Sargeant,7,19,20,1090
1,Verstappen,1,1,1,1091
3,Leclerc,4,5,2,1091
2,Pérez,1,2,3,1091
4,Hamilton,2,4,4,1091
19,Sainz,4,7,5,1091
20,Piastri,5,11,6,1091
7,Norris,5,8,7,1091
6,Russell,2,6,8,1091
5,Alonso,3,3,9,1091
9,Stroll,3,9,10,1091
10,Tsunoda,10,17,11,1091
11,Gasly,6,12,12,1091
15,Magnussen,8,18,13,1091
12,Bottas,9,15,14,1091
8,Ocon,6,10,15,1091
14,Albon,7,13,16,1091
13,Zhou,9,16,17,1091
17,Sargeant,7,19,18,1091
16,Ricciardo,10,21,19,1091
18,Hülkenberg,8,14,20,1091
1,Verstappen,1,1,1,1092
7,Norris,5,8,2,1092
17,Russell,2,7,3,1092
8,Albon,7,13,4,1092
2,Alonso,3,3,5,1092
5,Sainz,4,5,6,1092
4,Pérez,1,2,7,1092
9,Piastri,5,12,8,1092
19,Leclerc,4,6,9,1092
20,Sargeant,7,19,10,1092
11,Stroll,3,9,11,1092
3,Gasly,6,10,12,1092
6,Hamilton,2,4,13,1092
15,Tsunoda,10,17,14,1092
12,Hülkenberg,8,14,15,1092
18,Zhou,9,16,16,1092
10,Ocon,6,11,17,1092
16,Magnussen,8,18,18,1092
14,Bottas,9,15,19,1092
13,Lawson,10,22,20,1092
3,Sainz,3,5,1,1093
1,Verstappen,1,1,2,1093
4,Leclerc,3,6,3,1093
5,Russell,2,7,4,1093
2,Pérez,1,2,5,1093
7,Albon,7,13,6,1093
12,Piastri,5,12,7,1093
6,Hamilton,2,4,8,1093
8,Norris,5,8,9,1093
9,Alonso,4,3,10,1093
20,Tsunoda,10,17,11,1093
11,Lawson,10,20,12,1093
17,Hülkenberg,8,14,13,1093
10,Bottas,9,15,14,1093
13,Sargeant,7,19,15,1093
14,Zhou,9,16,16,1093
15,Gasly,6,10,17,1093
19,Ocon,6,11,18,1093
18,Magnussen,8,18,19,1093
16,Stroll,4,9,20,1093
1,Sainz,3,5,1,1094
16,Russell,2,7,2,1094
4,Leclerc,3,6,3,1094
2,Norris,5,8,4,1094
3,Hamilton,2,3,5,1094
10,Magnussen,8,18,6,1094
15,Alonso,4,4,7,1094
18,Ocon,6,12,8,1094
13,Hülkenberg,8,14,9,1094
9,Lawson,10,19,10,1094
5,Verstappen,1,1,11,1094
6,Gasly,6,10,12,1094
8,Pérez,1,2,13,1094
11,Albon,7,13,14,1094
19,Tsunoda,10,17,15,1094
17,Bottas,9,15,16,1094
7,Piastri,5,11,17,1094
14,Sargeant,7,20,18,1094
12,Zhou,9,16,19,1094
20,Stroll,4,9,20,1094
1,Verstappen,1,1,1,1095
3,Piastri,5,9,2,1095
2,Norris,5,7,3,1095
4,Leclerc,3,6,4,1095
19,Pérez,1,2,5,1095
6,Sainz,3,5,6,1095
5,Hamilton,2,3,7,1095
7,Russell,2,8,8,1095
12,Tsunoda,10,17,9,1095
8,Alonso,4,4,10,1095
11,Lawson,10,19,11,1095
10,Gasly,6,11,12,1095
16,Albon,7,13,13,1095
9,Ocon,6,12,14,1095
15,Magnussen,8,18,15,1095
20,Bottas,9,15,16,1095
18,Stroll,4,10,17,1095
14,Hülkenberg,8,14,18,1095
13,Zhou,9,16,19,1095
17,Sargeant,7,20,20,1095
1,Verstappen,1,1,1,1096
4,Russell,2,8,2,1096
19,Hamilton,2,3,3,1096
6,Alonso,4,4,4,1096
5,Leclerc,3,6,5,1096
2,Piastri,5,9,6,1096
12,Gasly,6,11,7,1096
7,Ocon,6,12,8,1096
8,Bottas,8,14,9,1096
3,Norris,5,7,10,1096
15,Tsunoda,10,17,11,1096
20,Sainz,3,5,12,1096
10,Pérez,1,2,13,1096
13,Albon,7,13,14,1096
16,Hülkenberg,9,15,15,1096
18,Sargeant,7,20,16,1096
11,Stroll,4,10,17,1096
17,Lawson,10,19,18,1096
14,Magnussen,9,18,19,1096
9,Zhou,8,16,20,1096
20,Leclerc,3,7,1,1097
2,Norris,4,6,2,1097
19,Hamilton,2,3,3,1097
3,Sainz,3,5,4,1097
5,Russell,2,8,5,1097
1,Verstappen,1,1,6,1097
6,Gasly,6,10,7,1097
18,Ocon,6,12,8,1097
4,Pérez,1,2,9,1097
17,Piastri,4,9,10,1097
8,Tsunoda,10,16,11,1097
13,Zhou,8,17,12,1097
12,Bottas,8,14,13,1097
14,Magnussen,9,18,14,1097
15,Ricciardo,10,22,15,1097
11,Hülkenberg,9,15,16,1097
16,Alonso,5,4,17,1097
9,Albon,7,13,18,1097
7,Stroll,5,11,19,1097
10,Sargeant,7,20,20,1097
3,Leclerc,3,7,1,1098
4,Sainz,3,4,2,1098
1,Verstappen,1,1,3,1098
7,Ricciardo,8,17,4,1098
20,Pérez,1,2,5,1098
2,Hamilton,2,3,6,1098
8,Piastri,4,9,7,1098
6,Russell,2,8,8,1098
15,Bottas,9,14,9,1098
14,Zhou,9,18,10,1098
11,Gasly,6,10,11,1098
13,Hülkenberg,10,15,12,1098
18,Alonso,5,5,13,1098
9,Albon,7,13,14,1098
12,Tsunoda,8,16,15,1098
10,Ocon,6,12,16,1098
19,Magnussen,10,19,17,1098
17,Stroll,5,11,18,1098
5,Norris,4,6,19,1098
16,Sargeant,7,21,20,1098
1,Verstappen,1,1,1,1099
20,Leclerc,3,7,2,1099
5,Stroll,5,10,3,1099
3,Alonso,5,4,4,1099
8,Hamilton,2,3,5,1099
15,Russell,2,8,6,1099
2,Norris,4,5,7,1099
6,Sainz,3,6,8,1099
4,Pérez,1,2,9,1099
14,Piastri,4,9,10,1099
12,Hülkenberg,10,16,11,1099
10,Ocon,6,12,12,1099
7,Gasly,6,11,13,1099
18,Magnussen,10,19,14,1099
19,Albon,7,13,15,1099
9,Tsunoda,8,14,16,1099
13,Ricciardo,8,17,17,1099
16,Bottas,9,15,18,1099
11,Sargeant,7,21,19,1099
17,Zhou,9,18,20,1099
2,Leclerc,3,7,1,1100
6,Sainz,3,4,2,1100
1,Verstappen,1,1,3,1100
8,Russell,2,8,4,1100
11,Gasly,6,11,5,1100
12,Albon,7,13,6,1100
16,Sargeant,7,21,7,1100
17,Bottas,9,15,8,1100
13,Magnussen,10,19,9,1100
9,Alonso,5,5,10,1100
7,Hamilton,2,3,11,1100
3,Pérez,1,2,12,1100
19,Hülkenberg,10,16,13,1100
5,Stroll,5,10,14,1100
14,Ricciardo,8,17,15,1100
20,Norris,4,6,16,1100
4,Ocon,6,12,17,1100
15,Zhou,9,18,18,1100
10,Piastri,4,9,19,1100
18,Tsunoda,8,14,20,1100
